Poste_Origem,Poste_Destino,Distancia,Lat_Poste_Origem,Lon_Poste_Origem,Lat_Poste_Destino,Lon_Poste_Destino
08-10409    ,15-05378    ,10.846088783493682,-3.7453618658323022,-38.543012700997124,-3.7454237503984515,-38.54293690235148
08-10280    ,08-10296    ,10.862884397589356,-3.7391871637968426,-38.53928885570832,-3.739127388343982,-38.539366503511076
08-10292    ,08-10293    ,10.92874764053038,-3.7394779918991357,-38.53986711206143,-3.7395695423956115,-38.539829952641526
08-04923    ,08-09902    ,11.027566442823352,-3.7353689782100816,-38.53542255124499,-3.735428707087151,-38.53534300885668
08-07831    ,08-07833    ,11.029080877389555,-3.7436293563705045,-38.53693788776484,-3.743547906274841,-38.53688052022264
08-08785    ,08-08786    ,11.040408733375772,-3.7429150488577148,-38.53764857457998,-3.74288795959732,-38.537744272604
08-00785    ,08-07853    ,11.040408733375772,-3.7427700423236887,-38.53715672330902,-3.7427972328942847,-38.537252392837786
08-00786    ,08-07880    ,11.057378758096332,-3.743041563429588,-38.537387347655965,-3.742942055867562,-38.537397531096026
08-01207    ,08-09925    ,11.157317420472816,-3.7417130319234877,-38.539894394819356,-3.741648986437069,-38.539972054964295
08-02539    ,08-02583    ,11.175447418336324,-3.7438101546400033,-38.536684511858944,-3.7438916059419864,-38.536744130781095
08-00452    ,08-00453    ,11.175447418336324,-3.7386971552381802,-38.5335752379112,-3.7387786066825086,-38.533634856232915
08-05214    ,08-05215    ,11.181912012263377,-3.744824868012059,-38.539502717512995,-3.744752532053835,-38.539573111228535
08-02580    ,08-07833    ,11.20337560737834,-3.743448403501847,-38.53689970927015,-3.743547906274841,-38.53688052022264
08-05204    ,08-05206    ,11.253471686550778,-3.744561214051536,-38.537040962043996,-3.74446171247123,-38.53706240249719
08-02573    ,08-07805    ,11.281206717368493,-3.742941750208075,-38.53682061412757,-3.7429688381691784,-38.53672266469836
08-02581    ,08-07832    ,11.40175425099138,-3.7436021096449053,-38.536736403073746,-3.7435388262229563,-38.53681748620285
08-00089    ,08-00117    ,11.40175425099138,-3.739431051824028,-38.53567932207061,-3.7393315532573386,-38.535706390911024
15-04201    ,15-08519    ,11.46852916309872,-3.7500160475024384,-38.53650451217191,-3.750055611941515,-38.53640903549529
08-00883    ,08-03393    ,11.577771193724187,-3.7376569916528526,-38.541136384942035,-3.737606653434328,-38.541044952285375
08-09478    ,15-05426    ,11.629590405110278,-3.7465811638343807,-38.54182407225867,-3.746671631128767,-38.54187753635458
08-05205    ,08-05220    ,11.63119929255318,-3.744334975816365,-38.53690430910083,-3.744435491270395,-38.53693528941283
08-07826    ,08-07836    ,11.645982408109674,-3.7433397532327612,-38.53672866109776,-3.7433758875075185,-38.53663014402017
08-04940    ,08-07719    ,11.646824942807154,-3.738519133567947,-38.537712255347024,-3.7384641863752677,-38.53780174917119
08-10273    ,08-10278    ,11.73080414266382,-3.739538740975493,-38.53964539639077,-3.7394650161219247,-38.53956940858947
08-07803    ,08-07804    ,11.791322401794869,-3.7439259785773307,-38.53690612698001,-3.7438374434566954,-38.53696535793329
08-01380    ,08-07049    ,11.808830776185168,-3.7346774524551214,-38.535300844190445,-3.734736456396205,-38.53538949612725
08-10286    ,08-10298    ,11.828517447116637,-3.73875128649339,-38.53913172210066,-3.738800368888607,-38.53903706672224
08-10273    ,08-10294    ,11.840072089159005,-3.739538740975493,-38.53964539639077,-3.73943516224818,-38.539672559688796
15-05319    ,15-07837    ,11.854502888920347,-3.74635146539499,-38.53778338531606,-3.746244282800801,-38.537786977143746
08-10277    ,08-10293    ,11.8838291918014,-3.73961036299136,-38.53973094734678,-3.7395695423956115,-38.539829952641526
08-00095    ,08-00096    ,11.902681447376938,-3.74011076433613,-38.535242190233795,-3.740154497953509,-38.53514423953783
08-07169    ,08-07176    ,11.926860441876563,-3.7448585521006326,-38.53478153754765,-3.744948987172041,-38.534722953708545
15-00128    ,15-00129    ,11.964224809940973,-3.7468690986400564,-38.538917974929305,-3.7468039178508334,-38.53900399160405
08-10289    ,08-10296    ,11.967101972422576,-3.7390718907330345,-38.53945903606196,-3.739127388343982,-38.539366503511076
08-03156    ,08-10789    ,11.986655982152662,-3.7411873686487866,-38.53807724249834,-3.741146850138876,-38.53797711514632
08-07825    ,08-07827    ,12.017174859983708,-3.7433904052416387,-38.53674557029806,-3.743430281896378,-38.53684624839391
08-02537    ,08-07819    ,12.030072994375388,-3.743303419225233,-38.53645063418367,-3.743212984894559,-38.53651090626739
08-07836    ,08-07837    ,12.053814593789328,-3.7433758875075185,-38.53663014402017,-3.743475658899329,-38.53667395306313
08-00767    ,08-01195    ,12.083207614288517,-3.7441385810293575,-38.54189348742965,-3.74405719939162,-38.541966136999704
08-06496    ,08-10450    ,12.088036482271402,-3.743974639446222,-38.539796967808954,-3.7438728528800898,-38.53975717139951
08-02582    ,08-07835    ,12.103879801534712,-3.7436927448272543,-38.53705492652797,-3.7437017338777556,-38.536946292441066
08-04992    ,08-10365    ,12.12187935451304,-3.7384760087754225,-38.543085153910255,-3.7383924080538002,-38.54301450673519
08-00455    ,08-00456    ,12.147691395899058,-3.73845282490594,-38.53344141042258,-3.7383984944133077,-38.53334631870732
08-02578    ,08-07821    ,12.188621743248904,-3.7431136149703255,-38.536780561767465,-3.7432131028177418,-38.536733230420424
08-00225    ,08-00226    ,12.2035004877048,-3.7383295605097566,-38.53521809657349,-3.738272788053174,-38.53512384263287
08-07819    ,08-07824    ,12.206555615733702,-3.743212984894559,-38.53651090626739,-3.74312255205082,-38.53657399256761
08-10273    ,08-10277    ,12.36631553886327,-3.739538740975493,-38.53964539639077,-3.73961036299136,-38.53973094734678
15-05310    ,15-05311    ,12.370910607242344,-3.747022505081685,-38.53818731700461,-3.7469330256177056,-38.53812040295011
